description,amount,category,date
KFC order 603,27.69,Food & Dining,2025-11-09
Miscellaneous Land,121.55,Others,2024-12-19
Planet Fitness Southern,52.95,Fitness,2025-05-16
Credit Card Payment If,1786.7,Finance,2025-03-14
Electric Company Organization,197.87,Utilities,2025-10-05
McDonald's order 533,66.54,Food & Dining,2025-03-17
Hospital Situation,120.25,Healthcare,2025-11-08
Starbucks order 205,32.92,Food & Dining,2025-05-30
KFC order 784,7.56,Food & Dining,2025-05-27
Walgreens Watch,150.01,Healthcare,2024-11-25
Bank Transfer Price,1093.52,Finance,2025-05-20
Disney+ Notice,30.87,Entertainment,2025-05-22
Electric Company Heart,32.74,Utilities,2025-11-13
Netflix Speak,16.55,Entertainment,2025-10-27
Credit Card Payment Daughter,660.93,Finance,2025-02-07
Walgreens Different,152.33,Healthcare,2025-09-19
Gift Shop Break,57.01,Others,2025-03-23
Etsy Rate,328.54,Shopping,2025-06-10
Charity Donation Final,410.23,Others,2025-11-02
Fitbit Subscription Also,113.09,Fitness,2025-05-22
Loan EMI Represent,742.18,Finance,2025-08-15
Hospital So,148.7,Healthcare,2024-12-23
Etsy Ever,122.94,Shopping,2025-05-28
Netflix Hold,20.89,Entertainment,2025-05-04
Spotify Major,48.01,Entertainment,2025-09-06
Internet Service Arm,240.39,Utilities,2025-04-30
McDonald's order 642,94.3,Food & Dining,2025-04-06
Investment Platform Check,1329.5,Finance,2025-07-12
KFC order 552,80.32,Food & Dining,2025-08-31
Amazon Establish,476.39,Shopping,2025-02-24
Clinic Century,111.17,Healthcare,2025-11-10
Credit Card Payment Two,827.14,Finance,2025-10-22
Amazon Identify,92.4,Shopping,2025-06-08
Hulu President,40.11,Entertainment,2025-09-24
Water Board Arm,27.81,Utilities,2025-09-24
Trainline ride from Port Rayhaven,855.41,Travel,2025-02-26
Fitbit Subscription Nor,124.65,Fitness,2025-02-14
Walgreens Nice,151.74,Healthcare,2025-05-23
Amazon Save,319.09,Shopping,2025-10-09
Gift Shop Situation,102.33,Others,2025-03-19
Miscellaneous Debate,302.05,Others,2025-03-27
Hulu Way,22.83,Entertainment,2025-04-24
Gas Co Figure,177.13,Utilities,2025-05-17
Delta Airlines ride from Danielleton,444.15,Travel,2025-03-31
Starbucks order 211,73.59,Food & Dining,2024-12-17
Fitbit Subscription Move,17.87,Fitness,2025-05-08
Delta Airlines ride from Markborough,447.04,Travel,2025-06-08
Gym Membership Product,50.46,Fitness,2024-12-27
Yoga Studio East,88.68,Fitness,2025-07-26
Etsy Second,242.94,Shopping,2025-04-10
Investment Platform Floor,735.54,Finance,2025-03-15
Planet Fitness Young,51.21,Fitness,2025-10-18
Hulu Voice,17.34,Entertainment,2024-12-05
Internet Service Add,145.44,Utilities,2025-09-16
Phone Bill And,123.3,Utilities,2025-06-16
Loan EMI Our,78.31,Finance,2025-02-27
Walmart Thing,218.01,Shopping,2025-04-14
Fitbit Subscription House,70.91,Fitness,2025-06-02
Domino's order 672,72.55,Food & Dining,2025-05-21
Hulu Expert,46.82,Entertainment,2025-11-06
Hospital Expect,103.94,Healthcare,2025-09-10
Miscellaneous Real,376.23,Others,2025-05-10
Gym Membership Whether,56.5,Fitness,2025-05-09
Taxi Service ride from New Kennethland,587.68,Travel,2024-12-12
Internet Service President,135.06,Utilities,2025-04-23
Internet Service Part,218.16,Utilities,2025-11-19
Walmart Whose,261.0,Shopping,2025-05-30
CVS Pharmacy Whole,133.28,Healthcare,2025-01-23
Credit Card Payment Product,89.64,Finance,2025-06-02
Water Board Speak,45.69,Utilities,2025-09-26
Electric Company Game,42.93,Utilities,2024-11-25
Subway order 523,65.68,Food & Dining,2025-01-09
Gift Shop Music,435.4,Others,2025-02-05
Clinic See,46.68,Healthcare,2025-04-15
Fitbit Subscription Education,40.81,Fitness,2025-05-26
Subway order 364,80.56,Food & Dining,2025-01-24
Hulu Education,47.25,Entertainment,2025-08-14
Lyft ride from Floresburgh,506.84,Travel,2025-05-01
Hospital Decide,197.0,Healthcare,2024-12-04
Planet Fitness Compare,62.95,Fitness,2025-02-01
Miscellaneous Tend,70.67,Others,2025-07-23
KFC order 388,10.91,Food & Dining,2025-03-17
Credit Card Payment Speech,1533.14,Finance,2025-06-22
Amazon Daughter,414.37,Shopping,2024-12-20
Gym Membership Last,102.27,Fitness,2025-11-14
McDonald's order 223,3.01,Food & Dining,2024-11-25
Taxi Service ride from Lake John,436.58,Travel,2025-03-04
Phone Bill Including,88.43,Utilities,2025-10-09
Bank Transfer Project,546.49,Finance,2025-10-21
KFC order 756,41.16,Food & Dining,2025-09-29
Etsy Together,255.92,Shopping,2025-07-04
Hulu Who,24.78,Entertainment,2025-08-26
Etsy Serve,373.31,Shopping,2025-05-05
Planet Fitness Suddenly,80.03,Fitness,2025-08-28
Gift Shop Determine,172.83,Others,2025-05-23
Hulu Republican,48.81,Entertainment,2025-06-13
Planet Fitness Rest,78.05,Fitness,2025-08-31
Spotify Describe,24.0,Entertainment,2025-01-06
Rite Aid Indicate,96.24,Healthcare,2024-12-29
Walgreens Writer,180.2,Healthcare,2025-03-19
Lyft ride from North Karen,557.55,Travel,2025-07-12
Netflix Million,36.08,Entertainment,2025-07-22
Charity Donation Ever,168.73,Others,2025-08-02
Charity Donation See,282.72,Others,2025-01-22
Water Board Attack,278.32,Utilities,2025-04-25
CVS Pharmacy Oil,173.78,Healthcare,2025-11-19
Fitbit Subscription Seven,137.35,Fitness,2025-05-03
Delta Airlines ride from West Juliaburgh,868.38,Travel,2025-03-03
Bank Transfer Action,338.86,Finance,2025-02-26
Hulu Staff,5.07,Entertainment,2025-02-16
Disney+ Any,13.61,Entertainment,2025-10-18
Fitbit Subscription State,97.78,Fitness,2025-01-16
Water Board Door,219.23,Utilities,2025-11-07
Trainline ride from Woodview,16.84,Travel,2025-06-14
Starbucks order 875,65.12,Food & Dining,2024-12-20
McDonald's order 857,12.76,Food & Dining,2024-12-23
Loan EMI Task,114.49,Finance,2025-05-25
Miscellaneous Property,26.65,Others,2025-10-11
Movie Theater Floor,16.75,Entertainment,2025-03-21
Taxi Service ride from Kirbyberg,541.78,Travel,2025-06-11
Clinic Add,123.87,Healthcare,2025-07-28
Gift Shop Body,351.35,Others,2025-05-22
Target Professional,361.69,Shopping,2025-05-06
CVS Pharmacy Oil,57.41,Healthcare,2025-01-05
Investment Platform War,1850.19,Finance,2025-08-16
Electric Company Claim,170.23,Utilities,2025-07-28
Loan EMI Local,1159.92,Finance,2025-03-27
Spotify System,36.02,Entertainment,2025-03-14
Electric Company Quality,42.34,Utilities,2025-10-09
Gift Shop Plant,331.38,Others,2024-12-27
Charity Donation Quickly,496.89,Others,2025-10-13
Credit Card Payment President,1142.27,Finance,2025-02-27
Gas Co Traditional,183.24,Utilities,2025-03-08
Flipkart How,71.52,Shopping,2025-03-04
Phone Bill Candidate,153.64,Utilities,2025-01-02
Charity Donation Day,394.94,Others,2025-01-16
Gift Shop Financial,447.46,Others,2025-09-27
Domino's order 387,69.74,Food & Dining,2025-08-25
Pizza Hut order 394,19.03,Food & Dining,2024-11-24
Starbucks order 558,83.53,Food & Dining,2025-02-27
Planet Fitness Both,64.45,Fitness,2025-09-04
Starbucks order 896,38.75,Food & Dining,2025-09-22
Trainline ride from North Christopher,739.22,Travel,2025-04-08
Bank Transfer Ability,1202.44,Finance,2024-12-05
Walmart Find,171.38,Shopping,2025-02-07
Clinic Treatment,50.53,Healthcare,2025-03-07
Walmart Least,81.07,Shopping,2025-10-31
Miscellaneous Mr,470.26,Others,2025-09-27
Hulu Agree,22.88,Entertainment,2025-01-19
Yoga Studio Baby,22.25,Fitness,2025-10-31
Clinic Set,177.15,Healthcare,2025-02-24
Yoga Studio Pick,91.73,Fitness,2025-03-29
Pizza Hut order 385,49.62,Food & Dining,2025-09-27
Trainline ride from Richmouth,264.17,Travel,2025-01-22
Water Board Sing,105.51,Utilities,2025-08-03
Bank Transfer Physical,908.04,Finance,2025-09-23
CVS Pharmacy None,16.55,Healthcare,2025-06-29
Etsy Respond,245.26,Shopping,2025-07-15
Amazon Keep,139.16,Shopping,2025-04-19
Gas Co Rule,187.73,Utilities,2025-06-17
Netflix Old,25.03,Entertainment,2025-06-12
Charity Donation Pick,27.3,Others,2025-03-12
Loan EMI Hand,157.07,Finance,2025-05-29
Rite Aid Method,151.59,Healthcare,2025-11-18
Subway order 491,66.54,Food & Dining,2025-02-18
Walgreens They,76.17,Healthcare,2025-08-04
Charity Donation Home,257.83,Others,2025-10-27
Miscellaneous Thus,441.03,Others,2025-08-31
Cafe Nero order 606,33.45,Food & Dining,2025-01-03
Trainline ride from Maryview,327.76,Travel,2025-05-26
Bank Transfer College,996.06,Finance,2025-01-26
Gift Shop Important,243.87,Others,2024-12-12
Clinic Camera,43.52,Healthcare,2025-05-31
Fitbit Subscription Want,22.57,Fitness,2024-12-14
Investment Platform Reach,1698.86,Finance,2025-02-05
McDonald's order 682,46.92,Food & Dining,2025-04-11
Trainline ride from Thomasside,251.39,Travel,2025-07-22
Hospital According,60.04,Healthcare,2025-10-08
Yoga Studio Method,79.71,Fitness,2025-09-21
Walgreens Reveal,52.11,Healthcare,2025-05-27
Gift Shop President,486.31,Others,2025-03-17
Disney+ Test,35.82,Entertainment,2025-03-26
Movie Theater Crime,46.42,Entertainment,2025-07-14
Cinema Community,26.81,Entertainment,2025-08-25
Walgreens Lawyer,179.66,Healthcare,2025-11-21
Etsy Anything,237.26,Shopping,2025-04-12
Investment Platform Body,1017.15,Finance,2025-06-17
Gym Membership Professional,25.69,Fitness,2025-05-28
Flipkart Production,131.61,Shopping,2025-06-23
Water Board Scientist,169.79,Utilities,2025-09-06
Trainline ride from New Davidland,337.94,Travel,2025-02-03
Etsy Well,53.3,Shopping,2025-09-07
Walmart Heart,309.2,Shopping,2025-08-11
Target Vote,103.1,Shopping,2025-09-22
Trainline ride from Brianfurt,946.32,Travel,2025-10-29
Flipkart Theory,109.95,Shopping,2025-05-14
Amazon Recognize,112.02,Shopping,2025-01-22
Miscellaneous Popular,121.7,Others,2025-09-03
Miscellaneous Few,409.05,Others,2025-04-30
Best Buy Woman,215.66,Shopping,2025-10-09
Electric Company Yourself,268.24,Utilities,2025-03-03
McDonald's order 125,91.81,Food & Dining,2025-10-03
Fitbit Subscription Whom,121.93,Fitness,2025-02-01
Target Town,274.86,Shopping,2025-08-08
Flipkart Music,11.9,Shopping,2025-04-16
Rite Aid Near,13.68,Healthcare,2025-08-28
Phone Bill Pay,259.12,Utilities,2025-09-23
Bank Transfer Need,1995.99,Finance,2025-07-15
Hulu Rich,5.15,Entertainment,2025-06-17
Electric Company Itself,98.11,Utilities,2025-09-05
Loan EMI Certainly,1481.16,Finance,2025-09-15
Yoga Studio Current,105.18,Fitness,2025-02-25
Airbnb ride from Emilyhaven,332.22,Travel,2025-08-09
Lyft ride from Andersonshire,680.89,Travel,2025-01-10
Hospital Argue,63.44,Healthcare,2025-08-31
Best Buy Quickly,260.01,Shopping,2025-07-17
Uber ride from Randallchester,49.16,Travel,2025-10-31
Spotify Article,13.23,Entertainment,2025-07-19
Internet Service Between,47.82,Utilities,2025-05-11
McDonald's order 757,29.38,Food & Dining,2025-05-01
Movie Theater Town,12.34,Entertainment,2025-03-12
Airbnb ride from New Nicholas,713.39,Travel,2025-07-21
Gift Shop Management,419.85,Others,2025-06-21
Cafe Nero order 731,43.96,Food & Dining,2025-10-13
Charity Donation Nor,480.71,Others,2025-09-19
Miscellaneous World,421.3,Others,2025-03-29
Phone Bill Run,246.37,Utilities,2025-08-02
Flipkart Though,226.43,Shopping,2025-08-21
Hulu Box,43.75,Entertainment,2025-04-13
Water Board Paper,299.15,Utilities,2025-06-17
Phone Bill Information,247.94,Utilities,2025-05-15
Cinema Goal,31.37,Entertainment,2025-05-17
Internet Service Beautiful,195.55,Utilities,2025-10-07
Gift Shop Television,329.41,Others,2025-09-05
Delta Airlines ride from New Kathryn,575.22,Travel,2025-02-23
Charity Donation A,406.74,Others,2025-06-12
Gift Shop Water,245.67,Others,2025-09-15
Bank Transfer Factor,1974.07,Finance,2025-09-17
Phone Bill Consumer,201.37,Utilities,2025-03-28
Credit Card Payment Mean,154.18,Finance,2025-04-15
CVS Pharmacy Send,125.7,Healthcare,2025-05-30
CVS Pharmacy Past,69.45,Healthcare,2025-09-02
Hospital Threat,13.0,Healthcare,2025-11-08
Hospital Now,74.26,Healthcare,2025-10-15
Cinema Second,9.89,Entertainment,2024-12-02
Walmart Production,300.5,Shopping,2025-01-13
Pizza Hut order 301,53.43,Food & Dining,2025-07-09
Credit Card Payment Another,647.58,Finance,2025-02-18
Amazon Foreign,326.57,Shopping,2025-01-17
Amazon Dream,245.09,Shopping,2025-05-09
Starbucks order 727,78.56,Food & Dining,2025-03-02
Yoga Studio Account,63.55,Fitness,2024-11-21
Gas Co Amount,209.35,Utilities,2024-12-15
Water Board Sport,81.33,Utilities,2025-05-11
Subway order 770,75.2,Food & Dining,2025-08-13
Yoga Studio Head,95.15,Fitness,2025-03-19
Phone Bill Morning,298.3,Utilities,2025-03-12
Target Tend,173.28,Shopping,2025-06-10
Walmart Himself,319.68,Shopping,2025-06-27
Amazon Score,75.44,Shopping,2025-07-30
Cinema Few,13.78,Entertainment,2025-07-10
Phone Bill Step,224.05,Utilities,2025-10-06
Walgreens Interest,18.96,Healthcare,2025-07-08
Investment Platform Color,1093.98,Finance,2025-03-22
Loan EMI Lot,416.79,Finance,2024-12-18
Taxi Service ride from Turnerport,626.75,Travel,2025-04-23
CVS Pharmacy Road,11.89,Healthcare,2025-04-15
Phone Bill Father,104.7,Utilities,2025-04-08
Gift Shop Each,311.24,Others,2025-04-22
Ola ride from Moorestad,389.65,Travel,2025-02-08
Amazon Store,446.85,Shopping,2025-07-18
Taxi Service ride from Carlsonville,81.53,Travel,2025-02-14
Ola ride from Millertown,64.07,Travel,2025-05-20
Starbucks order 750,19.47,Food & Dining,2025-08-03
Investment Platform Their,664.36,Finance,2025-10-18
Gym Membership Notice,102.84,Fitness,2025-10-16
Planet Fitness Huge,140.85,Fitness,2024-12-02
Investment Platform Suggest,683.73,Finance,2025-01-12
Charity Donation Wide,324.1,Others,2025-05-07
Electric Company After,89.42,Utilities,2025-02-18
Gift Shop Question,259.91,Others,2025-07-04
Lyft ride from West Elizabeth,589.61,Travel,2025-03-19
Fitbit Subscription There,70.33,Fitness,2025-10-28
Charity Donation Push,205.44,Others,2025-02-07
Loan EMI Price,926.53,Finance,2025-04-14
Clinic Indeed,152.79,Healthcare,2025-02-11
Delta Airlines ride from New Christopherside,239.31,Travel,2025-11-02
Investment Platform Reveal,1649.07,Finance,2025-03-04
Walmart Administration,103.39,Shopping,2024-11-25
Investment Platform Food,1511.48,Finance,2024-11-28
Bank Transfer Only,1747.04,Finance,2025-01-26
Domino's order 618,78.04,Food & Dining,2025-01-07
Cinema Safe,19.31,Entertainment,2024-12-07
Phone Bill Them,204.38,Utilities,2025-11-04
Investment Platform Candidate,745.05,Finance,2025-10-24
Fitbit Subscription Final,91.06,Fitness,2025-11-17
Clinic Cost,123.56,Healthcare,2025-10-05
Rite Aid Look,18.1,Healthcare,2025-05-19
Planet Fitness Thus,51.08,Fitness,2025-03-18
Loan EMI Growth,1121.07,Finance,2024-12-13
Disney+ Person,32.86,Entertainment,2025-01-25
Bank Transfer Degree,725.47,Finance,2025-10-10
Hospital Want,172.08,Healthcare,2025-05-26
Best Buy Green,399.22,Shopping,2025-09-21
CVS Pharmacy Specific,172.28,Healthcare,2025-03-05
Hospital Relationship,124.62,Healthcare,2025-02-07
Fitbit Subscription Late,134.75,Fitness,2025-03-17
CVS Pharmacy Television,141.05,Healthcare,2025-06-20
Clinic Hair,197.34,Healthcare,2025-06-01
Cinema Society,20.84,Entertainment,2025-07-23
Spotify Coach,33.47,Entertainment,2025-10-07
Planet Fitness When,38.21,Fitness,2025-01-10
Gift Shop Effort,475.27,Others,2025-07-05
Investment Platform Project,764.9,Finance,2025-06-27
CVS Pharmacy Top,18.12,Healthcare,2025-07-18
Movie Theater Range,31.04,Entertainment,2025-06-13
Trainline ride from Lyonsmouth,728.63,Travel,2025-01-28
Netflix Home,20.26,Entertainment,2025-04-04
Gym Membership Language,89.02,Fitness,2025-02-04
Gas Co Yet,227.41,Utilities,2024-12-23
Etsy Leader,108.46,Shopping,2025-01-05
Rite Aid Already,83.17,Healthcare,2025-08-13
Yoga Studio Gas,36.78,Fitness,2024-12-01
Yoga Studio Serious,113.82,Fitness,2025-07-25
Electric Company Amount,242.16,Utilities,2025-02-10
Flipkart Hospital,261.59,Shopping,2025-06-25
Domino's order 282,4.65,Food & Dining,2024-11-30
Investment Platform Sea,561.49,Finance,2025-01-15
Investment Platform Wrong,719.77,Finance,2025-11-15
Gift Shop Recently,59.34,Others,2025-02-08
KFC order 355,97.86,Food & Dining,2025-01-25
Fitbit Subscription Strategy,90.47,Fitness,2025-01-21
McDonald's order 224,27.83,Food & Dining,2025-10-17
Trainline ride from Lake Christinechester,877.25,Travel,2025-04-23
Bank Transfer Maintain,1144.84,Finance,2025-08-12
Fitbit Subscription Adult,140.76,Fitness,2025-07-02
Trainline ride from Lake Kevinberg,621.31,Travel,2025-05-06
Hospital Role,51.08,Healthcare,2025-08-27
Target By,342.13,Shopping,2024-12-28
Best Buy Already,286.96,Shopping,2025-08-18
Taxi Service ride from Caitlinberg,107.66,Travel,2025-04-05
Hulu Fact,30.18,Entertainment,2024-12-17
Loan EMI Spend,539.78,Finance,2025-08-08
Gym Membership After,69.03,Fitness,2025-05-03
KFC order 118,35.27,Food & Dining,2025-05-08
Uber ride from Port Debraville,857.94,Travel,2025-09-24
Trainline ride from Jessicafort,577.36,Travel,2025-10-05
Disney+ Choose,12.82,Entertainment,2025-05-07
Subway order 859,36.42,Food & Dining,2025-05-21
Electric Company Environmental,231.38,Utilities,2024-11-28
Credit Card Payment Reach,624.47,Finance,2025-11-05
Walmart Marriage,68.98,Shopping,2025-07-12
Phone Bill Financial,58.3,Utilities,2025-08-15
Amazon Marriage,473.37,Shopping,2025-07-14
Clinic Improve,142.59,Healthcare,2025-06-03
Water Board Deal,87.53,Utilities,2024-12-31
Miscellaneous Another,77.47,Others,2025-01-26
Ola ride from Cummingsside,631.5,Travel,2025-03-23
Credit Card Payment Yeah,954.15,Finance,2025-07-11
CVS Pharmacy Reduce,140.18,Healthcare,2025-06-12
Electric Company Clear,135.58,Utilities,2025-09-25
Cinema Condition,22.14,Entertainment,2025-03-10
Ola ride from East Sarahville,136.49,Travel,2025-08-13
Investment Platform Every,803.0,Finance,2025-11-11
Target Idea,450.02,Shopping,2025-06-07
Charity Donation Section,112.28,Others,2025-10-14
Bank Transfer Style,1468.05,Finance,2025-11-15
Miscellaneous Amount,26.17,Others,2025-01-27
Domino's order 499,93.76,Food & Dining,2025-05-19
Electric Company Ever,283.02,Utilities,2025-03-24
Credit Card Payment Have,1039.47,Finance,2025-10-17
Phone Bill Know,226.25,Utilities,2025-04-09
Phone Bill Trip,186.39,Utilities,2025-02-27
Gym Membership Opportunity,49.35,Fitness,2025-09-11
Ola ride from Tarashire,363.67,Travel,2025-01-02
Cinema Fly,8.84,Entertainment,2025-01-06
Gas Co Enough,92.86,Utilities,2025-11-04
Delta Airlines ride from South Derrick,608.32,Travel,2025-10-04
Subway order 132,82.12,Food & Dining,2025-04-20
Hulu Anyone,23.37,Entertainment,2025-01-07
Yoga Studio Price,133.66,Fitness,2025-01-06
Clinic Current,13.92,Healthcare,2025-07-26
Miscellaneous Role,176.77,Others,2025-09-15
Loan EMI Employee,1588.99,Finance,2025-08-06
Cinema Prevent,13.68,Entertainment,2025-07-26
CVS Pharmacy Nature,117.08,Healthcare,2025-02-12
Yoga Studio Own,19.73,Fitness,2025-06-21
Miscellaneous Them,301.76,Others,2025-05-10
Cinema Herself,24.79,Entertainment,2025-10-20
Flipkart Yes,477.83,Shopping,2024-12-06
McDonald's order 660,99.36,Food & Dining,2025-02-25
Delta Airlines ride from Reeseborough,985.08,Travel,2024-12-14
Credit Card Payment That,1436.13,Finance,2025-02-20
Gym Membership Center,118.58,Fitness,2025-10-02
Charity Donation Early,373.76,Others,2025-09-08
Taxi Service ride from West Stephenhaven,268.61,Travel,2025-09-01
Best Buy Off,449.6,Shopping,2025-04-10
Bank Transfer Wide,1847.16,Finance,2025-11-09
Trainline ride from North Justin,18.92,Travel,2025-07-29
Uber ride from East Steven,472.49,Travel,2025-02-06
Taxi Service ride from West Karenport,405.65,Travel,2025-06-12
Credit Card Payment Step,1100.33,Finance,2025-09-24
Etsy Smile,272.46,Shopping,2025-02-20
Hospital Product,84.02,Healthcare,2025-08-13
Hulu General,11.69,Entertainment,2025-04-07
Water Board Truth,33.16,Utilities,2025-06-30
Loan EMI They,383.92,Finance,2025-01-23
Uber ride from Lindaside,945.75,Travel,2025-10-18
Planet Fitness Speech,75.11,Fitness,2025-04-28
Walgreens Now,125.4,Healthcare,2025-04-08
Gym Membership Subject,49.81,Fitness,2025-01-25
Hulu Campaign,10.42,Entertainment,2025-03-03
Miscellaneous Mean,98.78,Others,2025-08-20
Gym Membership Property,109.82,Fitness,2025-09-17
Walmart Red,430.04,Shopping,2025-07-18
Delta Airlines ride from Littleport,606.02,Travel,2025-02-23
Etsy Not,230.38,Shopping,2025-07-02
Spotify Little,37.45,Entertainment,2025-04-05
Planet Fitness Lay,132.48,Fitness,2024-12-18
Miscellaneous Let,127.07,Others,2024-12-01
Bank Transfer Station,1811.15,Finance,2025-03-16
Investment Platform Sea,1973.52,Finance,2025-04-02
Bank Transfer Art,576.45,Finance,2025-02-15
Rite Aid Mouth,76.53,Healthcare,2025-05-15
Fitbit Subscription Human,54.77,Fitness,2025-11-12
Target Billion,448.05,Shopping,2025-05-07
Gym Membership Good,62.83,Fitness,2025-03-18
Uber ride from Annafurt,447.57,Travel,2025-07-07
Yoga Studio Truth,147.79,Fitness,2025-07-06
Yoga Studio Land,90.69,Fitness,2025-06-28
KFC order 614,73.65,Food & Dining,2025-03-24
Loan EMI Issue,1446.11,Finance,2025-07-10
McDonald's order 426,70.31,Food & Dining,2025-05-11
Domino's order 523,62.46,Food & Dining,2025-07-24
Water Board Out,180.13,Utilities,2025-09-14
Fitbit Subscription Which,16.34,Fitness,2025-03-05
Cinema Then,33.89,Entertainment,2025-05-18
Credit Card Payment Condition,909.07,Finance,2024-11-25
Charity Donation Stand,290.29,Others,2025-07-18
Miscellaneous Safe,463.11,Others,2025-09-08
Credit Card Payment Develop,1585.75,Finance,2025-11-09
Pizza Hut order 164,62.52,Food & Dining,2025-10-21
Target As,368.86,Shopping,2025-09-01
Cafe Nero order 291,53.63,Food & Dining,2025-09-06
Airbnb ride from Miguelhaven,886.39,Travel,2025-01-20
Phone Bill Important,41.15,Utilities,2025-04-29
Starbucks order 543,26.52,Food & Dining,2025-10-03
Walmart Author,243.87,Shopping,2025-08-14
Cafe Nero order 385,6.53,Food & Dining,2025-07-27
Lyft ride from North Sarahstad,927.7,Travel,2025-01-19
KFC order 664,57.14,Food & Dining,2025-03-09
McDonald's order 571,22.73,Food & Dining,2025-08-19
Walgreens Black,197.31,Healthcare,2025-11-07
Charity Donation Cell,307.8,Others,2025-09-03
Yoga Studio Environment,113.02,Fitness,2025-06-06
Electric Company Development,51.85,Utilities,2025-01-23
Gift Shop Pick,496.99,Others,2025-01-01
Bank Transfer Again,1240.66,Finance,2025-02-17
Uber ride from New Jennifer,731.48,Travel,2025-06-21
Delta Airlines ride from North Lee,268.21,Travel,2025-03-17
Planet Fitness Information,30.62,Fitness,2025-03-23
Miscellaneous Little,225.79,Others,2025-06-25
Gym Membership Particularly,19.46,Fitness,2025-04-19
Cafe Nero order 759,63.41,Food & Dining,2025-10-07
Disney+ Chance,48.02,Entertainment,2025-05-22
Walgreens Reason,35.16,Healthcare,2025-06-13
Uber ride from Taylorborough,510.45,Travel,2025-03-18
Clinic What,96.64,Healthcare,2025-04-23
Credit Card Payment Tree,671.23,Finance,2025-08-11
Amazon Performance,305.27,Shopping,2025-04-14
Flipkart Loss,210.75,Shopping,2025-09-19
Bank Transfer Role,1459.43,Finance,2024-12-03
Starbucks order 671,98.35,Food & Dining,2025-03-17
Loan EMI Small,500.81,Finance,2025-01-05
Spotify Movie,31.67,Entertainment,2025-09-24
Disney+ Mission,14.14,Entertainment,2025-07-26
CVS Pharmacy Argue,178.39,Healthcare,2025-03-02
Amazon Professional,221.6,Shopping,2024-12-24
Loan EMI Physical,956.35,Finance,2025-04-03
Amazon Put,382.59,Shopping,2025-09-11
Trainline ride from South Tyler,437.8,Travel,2024-12-20
Charity Donation Chair,345.56,Others,2025-01-27
Planet Fitness Parent,108.85,Fitness,2025-05-03
Cafe Nero order 206,75.66,Food & Dining,2025-08-15
Movie Theater Wish,34.35,Entertainment,2025-08-16
Movie Theater Evening,32.74,Entertainment,2025-06-13
Lyft ride from Jonesview,688.25,Travel,2025-10-25
Target Compare,163.41,Shopping,2025-10-27
Credit Card Payment Test,529.44,Finance,2025-07-10
Phone Bill Sign,133.38,Utilities,2025-04-12
Trainline ride from Lauraton,795.86,Travel,2025-07-18
Clinic Develop,12.78,Healthcare,2025-11-10
Domino's order 716,37.97,Food & Dining,2025-08-13
Lyft ride from West Sandy,496.56,Travel,2025-06-19
Movie Theater Century,41.22,Entertainment,2025-10-04
Miscellaneous Culture,279.77,Others,2025-02-17
Gym Membership Turn,21.54,Fitness,2025-06-17
Trainline ride from Port Darrylview,627.71,Travel,2025-08-07
Target Mouth,440.48,Shopping,2025-06-21
CVS Pharmacy Agreement,130.97,Healthcare,2025-10-18
Gas Co Finish,78.91,Utilities,2025-04-18
Subway order 986,43.52,Food & Dining,2025-01-06
Miscellaneous Discussion,316.11,Others,2025-05-23
Miscellaneous Customer,178.89,Others,2025-07-30
Gift Shop Tree,382.73,Others,2025-10-18
Walmart Go,315.26,Shopping,2025-02-18
Walgreens Ability,180.68,Healthcare,2025-09-29
Uber ride from Robbinsville,966.22,Travel,2024-12-10
Electric Company Outside,76.54,Utilities,2025-04-23
Spotify Over,17.26,Entertainment,2025-02-07
Disney+ Stock,39.79,Entertainment,2025-03-20
Amazon Manager,495.89,Shopping,2024-12-28
Flipkart Majority,418.48,Shopping,2025-02-22
Loan EMI Standard,1136.1,Finance,2025-03-23
Hulu Husband,42.84,Entertainment,2024-11-27
Pizza Hut order 342,53.04,Food & Dining,2025-06-25
Rite Aid Subject,193.73,Healthcare,2025-01-02
Rite Aid Building,31.82,Healthcare,2024-12-31
Investment Platform Sound,1114.22,Finance,2025-05-15
Internet Service Manager,211.83,Utilities,2025-04-23
Walgreens Walk,119.68,Healthcare,2025-10-18
Loan EMI Class,227.52,Finance,2025-02-06
Gym Membership Prepare,31.68,Fitness,2025-09-28
Subway order 960,11.77,Food & Dining,2025-07-06
Fitbit Subscription Southern,70.42,Fitness,2025-09-19
Walmart Success,432.21,Shopping,2025-08-05
Planet Fitness Ago,100.53,Fitness,2025-08-26
Gym Membership If,12.34,Fitness,2025-02-04
Hulu Tell,30.1,Entertainment,2025-11-08
Charity Donation Six,239.0,Others,2024-11-21
KFC order 143,25.93,Food & Dining,2024-12-02
Pizza Hut order 651,98.61,Food & Dining,2024-11-30
Yoga Studio Best,111.9,Fitness,2025-07-08
Credit Card Payment Million,818.79,Finance,2024-11-27
Bank Transfer Measure,271.98,Finance,2025-05-30
Target Remain,435.92,Shopping,2025-04-27
Planet Fitness City,72.59,Fitness,2025-05-01
Miscellaneous Brother,10.46,Others,2025-04-09
Water Board Success,45.39,Utilities,2025-07-20
Gym Membership Election,39.56,Fitness,2024-11-23
Gas Co Young,107.2,Utilities,2024-12-25
Etsy Identify,122.4,Shopping,2025-07-30
Charity Donation Year,54.97,Others,2025-06-06
